,precision,recall,f1-score,support
Model Abstraction Pattern,0.7142857142857143,0.3125,0.43478260869565216,16.0
Preprocessing Text and Numerical Data,0.5625,0.2647058823529412,0.36,34.0
LLM Results Evaluation,0.5,0.07692307692307693,0.13333333333333333,13.0
Modular LLM Agent Architectures,0.16666666666666666,0.05,0.07692307692307693,20.0
Retrieval Augmented Generation(RAG) Optimization for LLMs,0.5,0.25,0.3333333333333333,20.0
Classical Models,0.696969696969697,0.48936170212765956,0.575,47.0
Tool Use for LLMs,0.5,0.18518518518518517,0.2702702702702703,27.0
LLM based Multimodal Generative Prompting,0.7692307692307693,0.38461538461538464,0.5128205128205128,26.0
micro avg,0.6082474226804123,0.29064039408866993,0.3933333333333333,203.0
macro avg,0.5512066058941059,0.25166140390053093,0.3370578919220223,203.0
weighted avg,0.5746033523127119,0.29064039408866993,0.378278886247402,203.0
